111-4980120-1442645	 : 60187-4703
114-1761157-2630666	 : 85710-3125
113-2345102-3500239	 : 47960-2129
114-5497146-5711456	 : 48108-1699
114-1566219-2377014	 : 27292-3322
111-1957749-2232249	 : 80011-1566
111-2933845-9362641	 : 48642-6534
111-2955018-1694637	 : 65810
113-7604051-6681022	 : 46225-1046
114-8159531-6545061	 : 47438-1530
112-4904956-7301028	 : 37130-3733
112-4474045-5512246	 : 98405
114-2090204-6122618	 : 60661-2104
113-6898301-5926616	 : 28146-7171
111-3720795-2998617	 : 33199-2516
114-9848252-2189008	 : 20010
111-0807605-2598659	 : 92806-1759
114-9987966-1152213	 : 53147-1419
112-7682423-9776257	 : 60446
111-8893405-2208262	 : 03820-4700
111-3016589-8481864	 : 04401-5618
111-0864843-1738606	 : 84088-5236
114-3937241-4093834	 : 89149
114-2418342-3448231	 : 80216-3463
113-0543439-0408228	 : 07675
111-7808435-1870656	 : 76801-4021
112-2053404-6674600	 : 58104-6535
114-1272648-5394623	 : 33012
111-0988287-3388248	 : 47404-3609
112-1693809-8593828	 : 36109-2702
114-9368787-6212258	 : 78712
114-2785956-2434628	 : 98134-1809
112-6433208-5285840	 : 14618-5117
114-6087019-8613003	 : 60160-1112
114-5411149-8957857	 : 19720
111-4318731-7944250	 : 13027-8803
113-9429662-3103459	 : 45732
113-3255333-4504233	 : 34737-3000
111-9291037-1161867	 : 77502-1516
114-3686080-5845831	 : 37138-2417
112-2047227-0225050	 : 90024-6535
114-9893417-2184223	 : 99204-2505
114-4728242-6936201	 : 33308-6740
113-9738191-7585861	 : 77505-1001
114-7829301-2223455	 : 53221-4129
111-0212319-4569034	 : 32092-1850
113-3307753-3635420	 : 56425-8641
114-2680121-2817806	 : 92683
111-2599413-2236243	 : 79106-8360
112-0286097-6089866	 : 02493-2281
114-1517771-7329862	 : 65721-6687
111-6802989-8305040	 : 32765
114-0795816-4159429	 : 78660-4606
112-7721188-1312224	 : 92008
112-2100587-6257046	 : 92688-2671
112-5075536-1365043	 : 49315-9166
112-0492197-4997008	 : 20112-3831
111-6590321-0823408	 : 29615
114-7014828-1244265	 : 78217
111-0239982-0354625	 : 49426
112-7208910-9741860	 : 37601
113-4522760-3057807	 : 36571
112-7375646-8493819	 : 01844-5882
113-6199697-1545068	 : 23608-1355
114-9856874-7451427	 : 30047-2321
111-8822183-9461815	 : 01854-2722
114-3677939-5005033	 : 85282-6850
111-1498698-5277061	 : 77007-2122
112-3152780-1351415	 : 60555
111-3459020-6812256	 : 22301-1123
113-6582064-4312220	 : 68102-1151
112-3371927-6836241	 : 60426
112-7998360-3562652	 : 60804-4356
113-7916282-6312263	 : 96789-2747
113-3380454-8545069	 : 75482-4041
112-7551584-2541002	 : 10011-4624
113-5821601-4049050	 : 37203-4165
114-1450253-2289062	 : 92350
111-5242893-7225851	 : 05655
112-1084587-4175404	 : 04268
111-5649955-9235422	 : 75165
114-6521116-3053855	 : 29708-7053
112-7309387-4814644	 : 45227-2413
113-4884869-9926607	 : 30904-3047
111-7293753-2085863	 : 13601-3847
111-2070179-7769033	 : 32818
113-5587759-2287419	 : 02648-1779
113-4521279-3669000	 : 89031-0593
114-6564443-1764203	 : 78132-4726
112-5397352-2776254	 : 15222-2263
111-0734673-1873821	 : 60302-3443
114-4678653-2288260	 : 13340-3523
114-7928107-1697029	 : 48446-2455
112-6810236-8522667	 : 44104-3863
113-5316159-1436226	 : 49316-9444
112-4055341-1944251	 : 08807-1919
113-9160341-4733867	 : 98273-8932
112-3984140-2587466	 : 21201-5825
113-9127645-4923429	 : 36203-3911
112-5249046-5396223	 : 02081-1218
