112-3592325-1817829	 : 48239-2986
104-0179847-7861036	 : 70788-2604
103-0928971-3718665	 : 55423-4618
112-0944404-9086638	 : 38016-3304
104-1732763-6800225	 : 94583-1588
110-0155547-3796269	 : 43207
106-3451801-1513816	 : 31081
002-6871841-9281834	 : 44106-3665
112-3299315-2701842	 : 08083-2922
104-9046958-4598604	 : 54121-9421
111-9993513-0470636	 : 48849-1021
112-4840106-5843400	 : 89506-1711
110-9289644-9775424	 : 54915
102-9294561-2578663	 : 09180
106-7437410-0296221	 : 48158-9551
105-8324214-3102654	 : 32207-8736
112-6627993-0589841	 : 36544-2935
106-5258099-9461816	 : 12601
112-6095304-2646627	 : 28027
002-7854774-4677027	 : 47841-8026
105-8374952-3956262	 : 33428-2230
114-9718395-6524227	 : 63565-2238
104-3813791-6729058	 : 92373-4724
109-6752377-1113831	 : 54313-6503
108-2843859-0499426	 : 15224
110-1948416-3343420	 : 21817-1218
115-1110146-9981004	 : 80124-2924
108-8549559-6957058	 : 10018-7001
109-6595686-6353049	 : 33040-6507
113-9057239-5393029	 : 83642-5123
110-1824848-3929846	 : 44839-2448
103-4235438-0865829	 : 64154-1379
110-7183872-1530636	 : 95363
113-8147592-3865813	 : 06106-1353
112-7288966-0789058	 : 48861-9722
104-0502062-3932258	 : 20001-4954
105-1514300-8924260	 : 85048-8135
113-4933818-2020237	 : 04444
110-5215551-5294652	 : 97206-2947
109-2833528-6809845	 : 27704-4614
113-1915580-3732251	 : 92109-7898
108-5718379-0861051	 : 32960-3097
112-6254651-7618656	 : 59801
103-7464298-7109853	 : 55904-7920
116-7313100-0765811	 : 85033
105-8867474-1865821	 : 90650-5052
002-7412328-6475428	 : 75799-6600
113-6919703-3523441	 : 28791-3201
002-4781072-9008210	 : 37311-4475
113-1334087-6077865	 : 38326-3725
104-8092547-8240252	 : 91502
115-6822486-4471411	 : 15920-0001
116-0164936-2902620	 : 91360-2660
111-1772240-8126659	 : 07410-4508
116-0858313-2099455	 : 10010-4507
106-8473403-7124265	 : 74033-3940
109-6938493-2405854	 : 98502-1119
002-8698356-8505042	 : 18447
115-5002500-2608206	 : 55024-8718
108-8781185-5195433	 : 97227-1162
115-3222205-5513815	 : 28001-8109
109-9467383-5386635	 : 80232
102-4582222-4409837	 : 09180
002-6424150-4733029	 : 92130-3077
111-8825612-6155441	 : 02139-1524
102-9991980-1030649	 : 90039
114-1629112-9943435	 : 90802-8139
107-1300418-4653042	 : 93257-2727
106-0779276-9950612	 : 07650
109-5894702-0327415	 : 33021-7009
113-3166234-0020254	 : 84109-1126
116-9462740-5498646	 : 98402-3014
111-5842060-9777039	 : 30117
106-7896688-6875410	 : 11024
102-5157140-6980205	 : 86301-1788
002-9872699-4777801	 : 11368
113-0107682-0445072	 : 10804-2623
110-6000437-4504233	 : 96815-4441
106-2723318-7785838	 : 28805-2238
112-1025786-2700245	 : 48861-9722
107-5100870-6562628	 : 97391-1900
116-5795947-8302605	 : 34232-4151
103-2990589-8859403	 : 65536-3910
103-2357990-8967418	 : 21113-1521
114-5661895-4321857	 : 95112-1108
109-5609485-6213842	 : 89557-0002
113-0083695-3496209	 : 91711
102-8439951-3865828	 : 37129-1506
106-6751032-5900226	 : 94124-1415
110-7873475-6996213	 : 46227-4820
110-8063303-1778664	 : 94804-3627
106-0750830-5065068	 : 77373-6896
107-3291841-1729057	 : 10022-3206
114-2080661-2567459	 : 15940-0600
110-2186763-7816269	 : 92056-1710
114-3943761-7193816	 : 68046-5506
109-9708698-8575439	 : 33604-7204
114-8859152-7248255	 : 83209
002-8355332-0881861	 : 22802-2462
113-7610351-6162623	 : 07450-3288
108-5883679-5652263	 : 78223
108-6996160-0258641	 : 73118-8614
106-1103219-9070632	 : 46567-1506
114-5406880-5969015	 : 91361-3106
115-0205470-9852264	 : 37129
104-7876932-5244240	 : 27604-1005
107-9674744-1087457	 : 82609-3760
108-7574583-0237051	 : 93454-2439
115-6468597-3691428	 : 97224-7936
110-1740310-7577009	 : 27893-9648
115-9580359-0627403	 : 20151-3290
111-8031471-1850626	 : 40506
115-1640390-1093833	 : 77584-2753
106-4681003-9020266	 : 94124-1415
103-8364108-7658616	 : 99202
104-5314983-6289808	 : 60062-2334
115-9081841-4805056	 : 34219-4562
102-3327553-3107434	 : 70119
116-3312695-0961009	 : 77378-8677
114-0220190-7503402	 : 49426-7884
110-9322742-7071416	 : 33126-4548
115-2968156-8134629	 : 37129
114-2587628-6840259	 : 63118-4339
116-4336109-9821825	 : 33837-9143
104-8660448-4919468	 : 92706-1731
116-9503663-1457845	 : 58102-4002
102-6467963-5713843	 : 68114-2799
114-6525767-9350641	 : 20037-1445
107-5997930-8989818	 : 23228-5237
108-0399570-2525849	 : 70458-2248
002-7059155-6804215	 : 74008
108-6299022-5510653	 : 60143-2306
114-9459533-5797000	 : 68066-1458
102-5625805-2679463	 : 46809-9642
107-8393796-4305851	 : 63141-6345
111-8491068-2445006	 : 48331-2912
106-0321492-7515415	 : 83702-5446
112-5109691-7490617	 : 31901-3429
002-6485222-7068218	 : 60561-1510
104-7177282-5426635	 : 02907-1856
102-8023649-6697865	 : 85018-4024
116-1416828-4673867	 : 94553-4112
107-3900230-3657808	 : 27401-1004
112-2267866-9313822	 : 92064
103-6301447-4224209	 : 93305
115-8942820-1930610	 : 33404-4013
103-4284393-8602648	 : 21201-7912
114-3614930-6298615	 : 11356-2001
108-7276311-7235459	 : 98366
107-5720592-3096249	 : 15759-7435
102-3227105-2660249	 : 21211
113-5146159-1816219	 : 97031-1657
113-6319058-0315460	 : 43215-2131
115-2488537-3029810	 : 79924-4905
104-9938708-3456213	 : 80920-7646
114-7763453-4050629	 : 07940-2122
002-2314432-8627409	 : 75075-6600
102-4539950-5363426	 : 85018-4024
107-5407850-0734655	 : 10010-4507
106-1493142-9411457	 : 55443-1814
115-1703850-2901030	 : 23510-2905
002-0382758-6886639	 : 77036-5113
113-8007848-5697042	 : 94553-6536
109-2398050-6621807	 : 48043-7802
115-3912917-5502658	 : 63011
111-6691174-7044203	 : 27214-9048
107-2975046-7249035	 : 97206-2947
106-7687741-0158661	 : 93711-1695
106-3449447-4541042	 : 45219
102-2287577-7886606	 : 82609-3760
113-3825946-1259432	 : 49417
115-2100554-9484244	 : 02111-1317
111-5241875-6353828	 : 18038-9589
109-8646143-2997831	 : 47909-8195
108-7895612-7589820	 : 11219
002-2601059-5414664	 : 02128-1544
110-7806030-4078625	 : 33016-5509
114-0586891-2879466	 : 22027
002-5271141-9029862	 : 27587-2343
113-1910174-6083422	 : 10010-5142
102-8299023-5973049	 : 76043-6117
102-7912798-2957822	 : 76043-6117
114-7526171-6250648	 : 94010-1311
103-8144769-0085045	 : 10014-1393
114-8662666-0253031	 : 20009
111-3152517-6357046	 : 11219
107-6552447-5549822	 : 47909-8195
109-7556416-5221047	 : 53221-1305
104-3311668-3629006	 : 77802-5363
112-2005127-2989848	 : 46714-1208
106-7341473-5297830	 : 20036-5523
002-0333374-9339435	 : 44118-4331
106-9185438-7896202	 : 85710-2119
102-4256238-5933068	 : 37821
106-0471712-1993063	 : 78701-3886
002-7645708-0485807	 : 20895-1020
115-4613422-5612230	 : 28315-2608
114-2267948-8064266	 : 91016
115-3474231-0579440	 : 45331-8331
103-4919669-3136205	 : 34472-9043
112-7856233-5765802	 : 98059-5913
115-8076299-9844240	 : 48239-2986
002-4280217-3332202	 : 40503-1927
108-6318945-8298613	 : 44060-7025
113-7529408-0231457	 : 70788-2604
103-2578173-7840262	 : 06033-1181
116-7265499-8782630	 : 27612-5217
108-3332890-6887464	 : 75901-5121
111-1191195-4909841	 : 60194-2108
103-0749683-0633058	 : 29582-9385
002-4247265-3809857	 : 60016-5763
116-0697116-6889802	 : 80111-3634
102-0888903-9651467	 : 90266
109-0378548-1816257	 : 70814
114-7141291-4832236	 : 90013-1734
104-9265549-3475469	 : 92130-3077
107-9587662-8044209	 : 11235-4884
103-3987519-1844251	 : 73132-5906
103-8949669-6401824	 : 52247-9580
114-5353137-3377853	 : 08859
108-4438141-1352222	 : 32413-2122
106-9326647-9724262	 : 60134
103-9101190-0921854	 : 03051-5244
104-4893237-0300241	 : 78580-4010
104-2651139-1293049	 : 47112-6968
115-7068541-8222606	 : 97239-1944
115-2679485-1426636	 : 23510-2905
104-2477641-9525023	 : 92084-5537
106-8229534-3144242	 : 19067-4729
107-7393296-3238645	 : 11235-4884
111-7240091-1288217	 : 94110-1967
104-6828185-7578649	 : 08721-1401
002-7717375-3481025	 : 94588-3260
107-9963530-2119421	 : 97914-1600
002-4048639-4514602	 : 79905-4101
109-4458882-1197039	 : 79905-4101
002-1735642-9795431	 : 79905-4101
104-3562864-7954641	 : 30265-1082
108-5356288-4153061	 : 92111-1535
106-6843710-9147420	 : 98366
103-1654170-2885054	 : 98272-8300
108-2955613-3213006	 : 33702-5602
116-0819287-4822665	 : 75115
102-2464767-5844255	 : 65672-6237
108-4230928-8749059	 : 08091-3846
113-3356672-7581066	 : 60606
109-9463365-3006634	 : 02210-1725
002-8799004-1344215	 : 97045-2228
111-0878025-8249810	 : 11415-1339
112-8480314-7722641	 : 98383-7686
112-8440472-9307425	 : 06492-3127
109-8327480-8927427	 : 95113-2515
104-5114957-4801066	 : 61475
108-8683302-5543435	 : 92868-3339
114-5052549-6133822	 : 45432-2048
105-9734676-8179460	 : 84715
002-7632053-3133047	 : 79412-2028
114-2607513-5498647	 : 32609-3524
105-1241000-1481866	 : 02906
105-2734155-2151410	 : 81632-6420
104-8526937-3242652	 : 11214
104-1853368-4390606	 : 94002-3507
002-2986487-2297068	 : 10010-5142
102-9862333-4321812	 : 11691-1759
103-0748989-8368269	 : 90806-4210
002-8953122-7112213	 : 33161-7134
109-9560589-3785840	 : 01821-4600
113-0102958-4733853	 : 47384
106-2423863-3210653	 : 43537-1673
111-3037720-3990669	 : 15205
104-1041458-8846609	 : 11369-1811
105-8327307-7875436	 : 06473
002-4120037-9029035	 : 14226
103-2466463-6623462	 : 97403-2079
105-8473153-5852227	 : 64011-9111
108-3711933-0762633	 : 97304-2811
106-4458513-9262664	 : 32526-7409
108-7076864-1293064	 : 32776
109-1190034-9067430	 : 27513-4225
103-1625101-9505864	 : 06511-3524
103-9866459-5560226	 : 93304-1331
108-8115343-0341848	 : 83647-5848
116-1109376-0954611	 : 54742-9507
111-6660788-4513837	 : 95051
107-9180895-8029858	 : 17562-9648
107-5780148-0444249	 : 63131-1803
113-8961856-2026651	 : 30701-3669
112-7557008-9118629	 : 57701-1158
108-3526839-3993050	 : 95815-2355
002-8867990-4652239	 : 33716-4807
113-3420313-2285021	 : 78602-5159
106-8179844-8318633	 : 11803-2400
103-1462110-0115444	 : 95762
107-6858468-5617021	 : 95348-2504
108-2121398-5148269	 : 19130-2602
106-4549815-9570611	 : 43537-1673
106-7110189-9611461	 : 10010
104-2393238-6102663	 : 28315-2608
116-9112246-4903419	 : 90504-3002
002-0650866-9341015	 : 56296
108-8419508-4159415	 : 30512-2292
111-0769572-5253809	 : 33462-5190
108-0743649-1767407	 : 85138-8249
112-5612859-5191436	 : 44060-8608
002-2566519-1425839	 : 86301-1909
002-0929132-0893003	 : 33916-2629
112-0606662-8197053	 : 20706-1359
111-3332413-9177803	 : 79022-4809
112-1633012-2555447	 : 63664-3181
103-1228090-7646604	 : 23059-5755
105-7982717-6308217	 : 20009-2627
109-7220629-9254629	 : 55409-1513
106-5220555-6284234	 : 33617-6812
102-7269066-1981813	 : 94585
116-2177657-6354609	 : 28117-9301
106-2917873-7044239	 : 48439-2003
105-4318873-7198637	 : 89822
